custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
336,Adult 18+,Male,Arrested,Suspect,29.8736,-90.0568,Stolen,Shotgun,56,20
1244,Adult 18+,Male,Arrested,Suspect,36.1189,-95.8429,Stolen,Shotgun,219,73
3895,Adult 18+,Male,Arrested,Suspect,33.5746,-81.7321,Stolen,Shotgun,1517,95
4406,Adult 18+,Male,Arrested,Suspect,47.7549,-117.402,Stolen,Shotgun,1800,97
13375,Adult 18+,Female,Arrested,Suspect,45.2615,-122.687,Stolen,Shotgun,6454,132
54038,Adult 18+,Male,Arrested,Suspect,33.2489,-92.6717,Stolen,Shotgun,27485,287
56178,Teen 12-17,Male,Arrested,Suspect,35.6368,-88.7964,Stolen,Shotgun,28520,293
148680,Adult 18+,Male,Arrested,Suspect,38.3496,-81.6325,Stolen,Shotgun,80015,646
152013,Adult 18+,Male,Arrested,Suspect,33.9776,-118.255,Stolen,Shotgun,81920,657
103303,Adult 18+,Male,Unharmed,Suspect,35.5951,-82.5515,Stolen,Shotgun,53343,460
103456,Adult 18+,Male,Arrested,Suspect,59.2066,-160.502,Stolen,Shotgun,53426,461
308755,Adult 18+,Male,Arrested,Suspect,36.8408,-119.799,Stolen,Shotgun,173401,1232
106271,Adult 18+,Male,Arrested,Suspect,33.0253,-97.1046,Stolen,Shotgun,55071,474
109081,Adult 18+,Male,Arrested,Suspect,34.2854,-85.1818,Stolen,Shotgun,56726,488
283438,Adult 18+,Male,Arrested,Suspect,41.2924,-95.947,Stolen,Shotgun,158384,1144
111641,Adult 18+,Male,Arrested,Suspect,39.7564,-75.5678,Stolen,Shotgun,58249,502
113114,Adult 18+,Male,Arrested,Suspect,40.9256,-72.6969,Stolen,Shotgun,59145,509
117516,Adult 18+,Male,Arrested,Suspect,42.2569,-84.752,Stolen,Shotgun,61696,528
117878,Adult 18+,Male,Arrested,Suspect,29.9559,-90.0673,Stolen,Shotgun,61907,530
120932,Adult 18+,Male,Arrested,Suspect,47.6187,-122.201,Stolen,Shotgun,63700,542
124620,Adult 18+,Male,Arrested,Suspect,43.0869,-75.2191,Stolen,Shotgun,65884,556
