city,state_name,lat,lng,id
New York,New York,40.6943,-73.9249,1840034016
Los Angeles,California,34.1141,-118.4068,1840020491
Chicago,Illinois,41.8375,-87.6866,1840000494
Miami,Florida,25.784,-80.2101,1840015149
Dallas,Texas,32.7935,-96.7667,1840019440
Houston,Texas,29.786,-95.3885,1840020925
Philadelphia,Pennsylvania,40.0077,-75.1339,1840000673
Atlanta,Georgia,33.7628,-84.422,1840013660
Washington,District of Columbia,38.9047,-77.0163,1840006060
Boston,Massachusetts,42.3188,-71.0852,1840000455
Phoenix,Arizona,33.5722,-112.0892,1840020568
Detroit,Michigan,42.3834,-83.1024,1840003971
Seattle,Washington,47.6211,-122.3244,1840021117
San Francisco,California,37.7558,-122.4449,1840021543
San Diego,California,32.8313,-117.1222,1840021990
Minneapolis,Minnesota,44.9635,-93.2678,1840007830
Brooklyn,New York,40.6501,-73.9496,1840034030
Tampa,Florida,27.9945,-82.4447,1840015982
Denver,Colorado,39.762,-104.8758,1840018789
Queens,New York,40.7498,-73.7976,1840034002
Baltimore,Maryland,39.3051,-76.6144,1840001592
Las Vegas,Nevada,36.2333,-115.2654,1840020364
St. Louis,Missouri,38.6359,-90.2451,1840001651
Portland,Oregon,45.5371,-122.65,1840019941
Riverside,California,33.9381,-117.3949,1840020551
Orlando,Florida,28.4773,-81.337,1840015099
Sacramento,California,38.5677,-121.4685,1840021491
San Juan,Puerto Rico,18.3985,-66.061,1630035577
San Antonio,Texas,29.4632,-98.5238,1840022220
San Jose,California,37.3012,-121.848,1840021570
Pittsburgh,Pennsylvania,40.4397,-79.9763,1840001254
Cincinnati,Ohio,39.1413,-84.506,1840003814
Manhattan,New York,40.7834,-73.9662,1840034000
Cleveland,Ohio,41.4764,-81.6805,1840000596
Indianapolis,Indiana,39.7771,-86.1458,1840030084
Austin,Texas,30.3005,-97.7522,1840019590
Kansas City,Missouri,39.1238,-94.5541,1840008535
Columbus,Ohio,39.9862,-82.9855,1840003760
Charlotte,North Carolina,35.2083,-80.8303,1840014557
Virginia Beach,Virginia,36.7335,-76.0435,1840003871
Bronx,New York,40.8501,-73.8662,1840033999
Milwaukee,Wisconsin,43.0642,-87.9675,1840003046
