participant_id,participant_age_group,participant_gender,participant_status,participant_type
1121,Adult 18+,Male,Arrested,Suspect
3111,Teen 12-17,Male,Unharmed,Suspect
1021,Adult 18+,Female,Arrested,Suspect
1111,Adult 18+,Male,Unharmed,Suspect
3121,Teen 12-17,Male,Arrested,Suspect
1011,Adult 18+,Female,Unharmed,Suspect
1141,Adult 18+,Male,Killed,Suspect
1131,Adult 18+,Male,Injured,Suspect
1031,Adult 18+,Female,Injured,Suspect
3021,Teen 12-17,Female,Arrested,Suspect
6121,Child 0-11,Male,Arrested,Suspect
6131,Child 0-11,Male,Injured,Suspect
1041,Adult 18+,Female,Killed,Suspect
3131,Teen 12-17,Male,Injured,Suspect
3141,Teen 12-17,Male,Killed,Suspect
6111,Child 0-11,Male,Unharmed,Suspect
6011,Child 0-11,Female,Unharmed,Suspect
3011,Teen 12-17,Female,Unharmed,Suspect
3041,Teen 12-17,Female,Killed,Suspect
3031,Teen 12-17,Female,Injured,Suspect
1140,Adult 18+,Male,Killed,Victim
1130,Adult 18+,Male,Injured,Victim
1030,Adult 18+,Female,Injured,Victim
1040,Adult 18+,Female,Killed,Victim
1110,Adult 18+,Male,Unharmed,Victim
6130,Child 0-11,Male,Injured,Victim
6030,Child 0-11,Female,Injured,Victim
3030,Teen 12-17,Female,Injured,Victim
3040,Teen 12-17,Female,Killed,Victim
3130,Teen 12-17,Male,Injured,Victim
6140,Child 0-11,Male,Killed,Victim
3140,Teen 12-17,Male,Killed,Victim
1120,Adult 18+,Male,Arrested,Victim
3110,Teen 12-17,Male,Unharmed,Victim
1010,Adult 18+,Female,Unharmed,Victim
3010,Teen 12-17,Female,Unharmed,Victim
6010,Child 0-11,Female,Unharmed,Victim
6110,Child 0-11,Male,Unharmed,Victim
6040,Child 0-11,Female,Killed,Victim
1020,Adult 18+,Female,Arrested,Victim
3120,Teen 12-17,Male,Arrested,Victim
6120,Child 0-11,Male,Arrested,Victim
6020,Child 0-11,Female,Arrested,Victim
3020,Teen 12-17,Female,Arrested,Victim
6041,Child 0-11,Female,Killed,Suspect
6141,Child 0-11,Male,Killed,Suspect
6021,Child 0-11,Female,Arrested,Suspect
6031,Child 0-11,Female,Injured,Suspect
